"","r_id","collection"
"632",36317,"Romantic"
"633",39522,"Sunday Brunches"
"634",49520,"Live Music"
"635",16505338,"Beer in a Bar"
"636",49105,"Kickass Burgers"
"637",17810303,"Newly Opened"
"638",48460,"Wine Bars"
"639",47393,"Best Shawarmas"
"640",37928,"Sunday Brunches"
"641",48063,"Hidden Gems"
"642",32081,"Perfect Pav Bhaji"
"643",38191,"Romantic"
"644",32755,"Perfect Pav Bhaji"
"645",40359,"Pan-Asian Delicacies"
"646",38688,"Best Cupcakes"
"647",38369,"Irani Cafes"
"648",16503038,"Mexican Magic"
"649",47061,"Veggie Friendly"
"650",44130,"Rooftops"
"651",49768,"Pan-Asian Delicacies"
"652",37896,"Value For Money"
"653",37769,"Sunday Brunches"
"654",36430,"Rooftops"
"655",49460,"Value For Money"
"656",16508753,"Brilliant Biryanis"
"657",39828,"Regional Favorites"
"658",49850,"Great Coffee"
"659",37312,"Pan-Asian Delicacies"
"660",37465,"Legendary Restaurants"
"661",45187,"Hidden Gems"
"662",48285,"Brilliant Biryanis"
"663",38028,"Great Breakfasts"
"664",43437,"Veggie Friendly"
"665",49061,"Brilliant Biryanis"
"666",16505333,"Great Cheesecakes"
"667",48640,"Jain Food"
"668",38952,"On the Outskirts"
"669",37445,"Legendary Restaurants"
"670",49337,"Pocket Friendly"
"671",49373,"Kickass Burgers"
"672",41713,"Pocket Friendly"
"673",38762,"Regional Favorites"
"674",37599,"Legendary Restaurants"
"675",40998,"Regional Favorites"
"676",41394,"Pan-Asian Delicacies"
"677",38925,"Delicious Dosas"
"678",35188,"Super Seafood"
"679",36897,"Meaty Feast"
"680",34359,"Kebab Places"
"681",41013,"Jain Food"
"682",49116,"Sunday Brunches"
"683",36477,"Irani Cafes"
"684",35644,"Value For Money"
"685",37857,"All-day Dining"
"686",38945,"Super Sushi"
"687",43898,"Pocket Friendly"
"688",32900,"Perfect Pav Bhaji"
"689",38765,"Healthy Eating"
"690",49052,"Value For Money"
"691",43675,"Best Shawarmas"
"692",34209,"Sumptuous Sizzlers"
"693",34212,"Chatpata Chaat"
"694",39164,"Rooftops"
"695",32353,"Pocket Friendly"
